,Name,Platform,Year_of_Release,Genre,NA_Sales,Global_Sales
15946,Professional Farmer 2016,PS4,2015,Action,0,0.02
15973,I Doll U,PSV,2015,Adventure,0,0.02
15978,Paranormal Pursuit: The Gifted One,PC,2015,Action,0,0.02
15983,The Sims 4: Luxury Party Stuff,PC,2015,Simulation,0,0.02
15994,Rugby World Cup 2015,PSV,2015,Sports,0,0.02
15999,Harukanaru Toki no Naka de 6,PSP,2015,Action,0,0.02
16004,Saenai Kanojo no Sodatekata: Blessing Flowers,PSV,2015,Action,0,0.02
16019,Sid Meier's Civilization Revolution 2+,PSV,2015,Strategy,0,0.02
16055,Girl Friend Beta: Kimi to Sugosu Natsuyasumi,PSV,2015,Action,0,0.02
16072,Meiji Toukyou Renka: Twilight Kiss,PSP,2015,Action,0,0.02
16103,SpongeBob: HeroPants,PSV,2015,Platform,0.01,0.01
16117,Sousaku Alice to Oujisama!,3DS,2015,Simulation,0,0.01
16127,WRC 5: FIA World Rally Championship,XOne,2015,Sports,0,0.01
16145,MLB 15: The Show,PSV,2015,Sports,0.01,0.01
16158,Kaitou Joker: Toki o Koeru Kaitou to Ushinawareta Houseki,3DS,2015,Action,0,0.01
16161,Raven's Cry,PS4,2015,Role-Playing,0,0.01
16171,War for the Overworld,PC,2015,Strategy,0,0.01
16174,Infinite Stratos 2: Love and Purge,PSV,2015,Action,0,0.01
16187,Higurashi no Naku Koro ni Iki,PS3,2015,Action,0,0.01
16215,Norn + Nonette: Last Era,PSV,2015,Action,0,0.01
16218,Hitotsu Tobashi Renai V,PSV,2015,Adventure,0,0.01
16222,Fuuraiki 3,PSV,2015,Action,0,0.01
16245,NHL 16,PS3,2015,Sports,0,0.01
16274,Hyakka Yakou,PSV,2015,Action,0,0.01
16304,Barbie and Her Sisters Puppy Rescue,WiiU,2015,Action,0,0.01
16316,Monster High: New Ghoul in School,Wii,2015,Action,0,0.01
16349,Farming Simulator 15 Expansion Pack,PC,2015,Action,0,0.01
16368,Nitroplus Blasterz: Heroines Infinite Duel,PS3,2015,Fighting,0,0.01
16369,Kurogane Kaikitan,PSV,2015,Adventure,0,0.01
16380,Dragon Quest X: All in One Package,WiiU,2015,Role-Playing,0,0.01
16392,Durarara!! Relay,PSV,2015,Action,0,0.01
16403,Chaos;Child,PS4,2015,Adventure,0,0.01
16417,Legend of Kay Anniversary,WiiU,2015,Action,0,0.01
16425,Mario vs. Donkey Kong: Tipping Stars,WiiU,2015,Puzzle,0,0.01
16458,Act of Aggression,PC,2015,Strategy,0,0.01
16461,Fallout Anthology,PC,2015,Action,0,0.01
16480,Chaos;Child,PS3,2015,Adventure,0,0.01
16496,Ride,X360,2015,Racing,0,0.01
16515,Art Academy: Home Studio,WiiU,2015,Misc,0,0.01
16523,Rugby World Cup 2015,PC,2015,Sports,0,0.01
16538,Rugby League Live 3,XOne,2015,Action,0,0.01
16559,"Horse Life 4: My Horse, My Friend, My Champion",3DS,2015,Action,0,0.01
16583,"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki",PSV,2015,Action,0,0.01
16587,Irotoridori no Sekai: World's End Re-Birth,PSV,2015,Action,0,0.01
16602,Saints Row: Gat out of Hell,XOne,2015,Action,0,0.01
16613,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,2015,Misc,0,0.01
16615,Kiniro no Corda 3,3DS,2015,Adventure,0,0.01
16623,Xblaze: Lost Memories,PSV,2015,Adventure,0.01,0.01
16667,Hakuoki: Reimeiroku - Omouhase Kara,PSV,2015,Action,0,0.01
43,Grand Theft Auto V,PS4,2014,Action,3.96,12.61
48,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,4.35,11.68
93,Call of Duty: Advanced Warfare,PS4,2014,Shooter,2.81,7.66
97,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,3.27,7.55
111,Mario Kart 8,WiiU,2014,Racing,3.15,7.09
144,FIFA 15,PS4,2014,Sports,0.8,6.08
155,Destiny,PS4,2014,Shooter,2.49,5.64
166,Grand Theft Auto V,XOne,2014,Action,2.81,5.48
180,Call of Duty: Advanced Warfare,XOne,2014,Shooter,3.22,5.27
181,Minecraft,PS3,2014,Misc,2.03,5.26
217,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,2.6,4.87
226,The Last of Us,PS4,2014,Action,1.88,4.71
256,Call of Duty: Advanced Warfare,PS3,2014,Shooter,1.56,4.36
262,Minecraft,PS4,2014,Misc,1.48,4.32
264,Call of Duty: Advanced Warfare,X360,2014,Shooter,2.77,4.29
265,FIFA 15,PS3,2014,Sports,0.58,4.28
296,Watch Dogs,PS4,2014,Action,1.4,4.05
299,Far Cry 4,PS4,2014,Shooter,1.13,4.04
305,Assassin's Creed: Unity,PS4,2014,Action,1.19,3.96
313,Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,0.68,3.89
374,Assassin's Creed: Unity,XOne,2014,Action,2.27,3.5
399,Destiny,XOne,2014,Shooter,2.14,3.37
413,Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,0.09,3.28
423,Halo: The Master Chief Collection,XOne,2014,Shooter,1.91,3.23
459,The Sims 4,PC,2014,Simulation,1,3.05
482,Middle-Earth: Shadow of Mordor,PS4,2014,Action,1.01,2.96
485,Titanfall,XOne,2014,Shooter,1.84,2.95
495,FIFA 15,X360,2014,Sports,0.79,2.92
530,inFAMOUS: Second Son,PS4,2014,Action,1.28,2.79
544,Minecraft,XOne,2014,Misc,1.61,2.76
564,Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,0,2.68
632,NBA 2K15,PS4,2014,Sports,1.47,2.45
750,Madden NFL 15,PS4,2014,Sports,1.54,2.19
755,FIFA 15,XOne,2014,Sports,0.6,2.18
815,DriveClub,PS4,2014,Racing,0.36,2.07
830,Madden NFL 15,X360,2014,Sports,1.77,2.05
851,Just Dance 2015,Wii,2014,Misc,0.99,2.01
852,Dragon Age: Inquisition,PS4,2014,Role-Playing,0.73,2.01
869,Minecraft,PSV,2014,Misc,0.18,1.96
899,Destiny,X360,2014,Shooter,1.31,1.92
909,LittleBigPlanet 3,PS4,2014,Platform,0.66,1.91
953,Kirby: Triple Deluxe,3DS,2014,Platform,0.61,1.83
958,Diablo III,PS4,2014,Role-Playing,0.51,1.82
977,The Evil Within,PS4,2014,Action,0.55,1.79
1022,Watch Dogs,PS3,2014,Action,0.56,1.74
1036,The Crew,PS4,2014,Racing,0.35,1.72
1038,NBA 2K15,XOne,2014,Sports,1.37,1.72
1126,Far Cry 4,XOne,2014,Shooter,0.8,1.63
1131,NBA 2K15,X360,2014,Sports,1.35,1.63
1142,Destiny,PS3,2014,Shooter,0.68,1.62
1181,Watch Dogs,XOne,2014,Action,0.9,1.57
1184,Madden NFL 15,XOne,2014,Sports,1.31,1.57
1209,Wolfenstein: The New Order,PS4,2014,Shooter,0.47,1.55
1232,Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,0.7,1.52
1315,Madden NFL 15,PS3,2014,Sports,1.08,1.45
1385,Tomb Raider (2013),PS4,2014,Action,0.47,1.4
1387,Forza Horizon 2,XOne,2014,Racing,0.5,1.4
1396,Yoshi's New Island,3DS,2014,Platform,0.48,1.38
1423,Titanfall,X360,2014,Shooter,0.87,1.36
1435,Middle-Earth: Shadow of Mordor,XOne,2014,Action,0.73,1.35
1463,NBA 2K15,PS3,2014,Sports,0.87,1.34
1518,Far Cry 4,PS3,2014,Shooter,0.34,1.29
1533,Assassin's Creed: Rogue,PS3,2014,Action,0.46,1.29
1549,The LEGO Movie Videogame,X360,2014,Action,0.69,1.27
1551,Dark Souls II,PS3,2014,Role-Playing,0.4,1.27
1560,Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,0.45,1.27
1587,Watch Dogs,X360,2014,Action,0.72,1.25
1623,Kingdom Hearts II,PS3,2014,Role-Playing,0.52,1.23
1628,Hyrule Warriors,WiiU,2014,Action,0.58,1.23
1678,Farming Simulator 2015,PC,2014,Simulation,0.08,1.2
1692,Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,0.53,1.19
1776,WWE 2K15,PS4,2014,Sports,0.39,1.15
1799,Sunset Overdrive,XOne,2014,Shooter,0.63,1.14
1813,Alien: Isolation,PS4,2014,Shooter,0.34,1.13
1906,Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,0.64,1.08
1912,Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,0.51,1.08
1979,EA Sports UFC,PS4,2014,Sports,0.46,1.05
2051,Assassin's Creed: Rogue,X360,2014,Action,0.58,1.01
2052,Rayman Legends,PS4,2014,Platform,0.22,1.01
2164,Disney Infinity 2.0: Marvel Super Heroes,PS3,2014,Action,0.46,0.95
2181,Skylanders: Trap Team,Wii,2014,Action,0.41,0.95
2215,Dragon Age: Inquisition,XOne,2014,Role-Playing,0.56,0.93
2233,Lego Batman 3: Beyond Gotham,PS4,2014,Action,0.37,0.93
2237,The LEGO Movie Videogame,PS3,2014,Action,0.33,0.93
2249,South Park: The Stick of Truth,PS3,2014,Role-Playing,0.43,0.92
2250,South Park: The Stick of Truth,X360,2014,Role-Playing,0.58,0.92
2298,Far Cry 4,X360,2014,Shooter,0.45,0.9
2304,The Elder Scrolls Online,PC,2014,Role-Playing,0.32,0.9
2316,Skylanders: Trap Team,X360,2014,Action,0.54,0.9
2336,Lego Batman 3: Beyond Gotham,X360,2014,Action,0.48,0.89
2466,The Evil Within,PS3,2014,Action,0.26,0.84
2522,Thief (2014),PS4,2014,Action,0.28,0.82
2598,Dragon Quest Monsters 2,3DS,2014,Role-Playing,0,0.79
2612,Forza Horizon 2,X360,2014,Racing,0.35,0.78
2614,WWE 2K15,PS3,2014,Sports,0.36,0.78
2688,Bayonetta 2,WiiU,2014,Action,0.32,0.76
2735,Pro Evolution Soccer 2015,PS4,2014,Sports,0.09,0.75
2743,Final Fantasy XIV: A Realm Reborn,PS4,2014,Role-Playing,0.33,0.75
2757,Dark Souls II,X360,2014,Role-Playing,0.48,0.74
2775,Lego Batman 3: Beyond Gotham,PS3,2014,Action,0.33,0.74
2785,Dragon Age: Inquisition,PC,2014,Role-Playing,0.33,0.73
2814,Just Dance 2015,WiiU,2014,Misc,0.38,0.73
2840,Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,0.34,0.72
2841,MLB 14: The Show,PS4,2014,Sports,0.58,0.72
2848,Borderlands: The Pre-Sequel,X360,2014,Shooter,0.46,0.72
2904,Skylanders: Trap Team,WiiU,2014,Action,0.38,0.7
2947,The LEGO Movie Videogame,3DS,2014,Action,0.28,0.69
2956,Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,0.39,0.69
2981,Sniper Elite 3,PS4,2014,Shooter,0.24,0.68
2992,Wolfenstein: The New Order,XOne,2014,Shooter,0.34,0.68
3007,The Evil Within,XOne,2014,Action,0.35,0.67
3012,The LEGO Movie Videogame,PS4,2014,Action,0.24,0.67
3035,Skylanders: Trap Team,PS3,2014,Action,0.26,0.66
3046,Diablo III,XOne,2014,Role-Playing,0.36,0.66
3064,Metro: Last Light,PS4,2014,Action,0.22,0.66
3077,Plants vs. Zombies: Garden Warfare,PS3,2014,Shooter,0.22,0.66
3087,Freedom Wars,PSV,2014,Role-Playing,0.15,0.65
3119,Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014,Action,0.37,0.65
3128,Borderlands 2,PSV,2014,Shooter,0.32,0.64
3135,The LEGO Movie Videogame,WiiU,2014,Action,0.33,0.64
3140,WWE 2K15,X360,2014,Sports,0.38,0.64
3162,The Crew,XOne,2014,Racing,0.25,0.64
3174,LittleBigPlanet 3,PS3,2014,Platform,0.2,0.63
3187,Far Cry 4,PC,2014,Shooter,0.15,0.63
3201,Rocksmith 2014,PS4,2014,Misc,0.35,0.63
3240,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,0.27,0.62
3272,2014 FIFA World Cup Brazil,PS3,2014,Sports,0.15,0.61
3285,Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,0.21,0.61
3302,Borderlands: The Pre-Sequel,PS3,2014,Shooter,0.26,0.61
3310,Tomb Raider (2013),XOne,2014,Action,0.35,0.61
3335,Just Dance 2015,X360,2014,Misc,0.42,0.6
3336,Kinect Sports Rivals,XOne,2014,Sports,0.3,0.6
3364,LEGO The Hobbit,PS4,2014,Action,0.13,0.6
3371,NHL 15,PS4,2014,Sports,0.31,0.6
3376,Dragon Age: Inquisition,PS3,2014,Role-Playing,0.27,0.6
3382,FIFA 15,PSV,2014,Sports,0.08,0.59
3417,Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,0.14,0.59
3485,Pro Evolution Soccer 2015,PS3,2014,Sports,0.1,0.58
3523,WWE 2K15,XOne,2014,Sports,0.29,0.57
3558,Titanfall,PC,2014,Shooter,0.22,0.56
3610,Middle-Earth: Shadow of Mordor,PS3,2014,Action,0.2,0.56
3612,FIFA 15,Wii,2014,Sports,0.15,0.56
3651,The Amazing Spider-Man 2 (2014),PS4,2014,Action,0.2,0.55
3653,Assassin's Creed: Unity,PC,2014,Action,0.18,0.55
3719,Final Fantasy Explorers,3DS,2014,Role-Playing,0.16,0.54
3768,Just Dance 2015,XOne,2014,Misc,0.35,0.53
3770,The LEGO Movie Videogame,XOne,2014,Action,0.35,0.53
3809,Dragon Age: Inquisition,X360,2014,Role-Playing,0.36,0.53
3849,Lords of the Fallen,PS4,2014,Role-Playing,0.18,0.52
3910,Alien: Isolation,XOne,2014,Shooter,0.22,0.51
4050,Middle-Earth: Shadow of Mordor,X360,2014,Action,0.28,0.49
4052,Pokemon Art Academy ,3DS,2014,Misc,0.18,0.49
4097,Mario Golf: World Tour,3DS,2014,Sports,0.15,0.48
4149,World of Warcraft: Warlords of Draenor,PC,2014,Action,0.08,0.47
4199,EA Sports UFC,XOne,2014,Sports,0.3,0.47
4215,Football Manager 2015,PC,2014,Simulation,0,0.46
4235,The Evil Within,X360,2014,Action,0.25,0.46
4241,Thief (2014),XOne,2014,Action,0.26,0.46
4242,The Walking Dead: Season One,PS4,2014,Adventure,0.12,0.46
4253,LEGO The Hobbit,PS3,2014,Action,0.12,0.46
4280,FIFA 15,3DS,2014,Sports,0.09,0.45
4284,LEGO The Hobbit,X360,2014,Action,0.2,0.45
4288,NHL 15,X360,2014,Sports,0.35,0.45
4307,Lego Batman 3: Beyond Gotham,3DS,2014,Action,0.21,0.45
4332,Lego Batman 3: Beyond Gotham,WiiU,2014,Action,0.21,0.45
4365,Wolfenstein: The New Order,PC,2014,Shooter,0.13,0.45
4369,Watch Dogs,PC,2014,Action,0.15,0.45
4392,Wolfenstein: The New Order,PS3,2014,Shooter,0.14,0.44
4393,Skylanders: Trap Team,PS4,2014,Action,0.19,0.44
4407,Disney Infinity 2.0: Marvel Super Heroes,XOne,2014,Action,0.25,0.44
4416,Fable,X360,2014,Role-Playing,0.25,0.44
4483,Sleeping Dogs,PS4,2014,Action,0.16,0.43
4491,Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,Fighting,0.15,0.43
4495,Lego Batman 3: Beyond Gotham,XOne,2014,Action,0.23,0.43
4496,MLB 14: The Show,PS3,2014,Sports,0.35,0.43
4551,2014 FIFA World Cup Brazil,X360,2014,Sports,0.15,0.42
4586,Trials Fusion,PS4,2014,Racing,0.13,0.42
4619,Story of Seasons,3DS,2014,Simulation,0,0.42
4692,NHL 15,XOne,2014,Sports,0.31,0.41
4704,F1 2014,PS3,2014,Racing,0.07,0.41
4737,Call of Duty: Advanced Warfare,PC,2014,Shooter,0.15,0.41
4748,Rocksmith 2014,XOne,2014,Misc,0.29,0.41
4945,Just Dance 2015,PS4,2014,Misc,0.19,0.39
4996,Wolfenstein: The New Order,X360,2014,Shooter,0.18,0.38
5053,Mobile Suit Gundam: Extreme VS Full Boost,PS3,2014,Fighting,0,0.38
5059,Wii Sports Club,WiiU,2014,Sports,0.17,0.38
5116,Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,0.13,0.37
5144,Skylanders: Trap Team,XOne,2014,Action,0.26,0.37
5166,Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,0.11,0.36
5167,NHL 15,PS3,2014,Sports,0.21,0.36
5225,Fossil Fighters: Frontier,3DS,2014,Role-Playing,0.08,0.36
5247,Thief (2014),PS3,2014,Action,0.1,0.35
5258,Middle-Earth: Shadow of Mordor,PC,2014,Action,0.12,0.35
5322,Sniper Elite 3,XOne,2014,Shooter,0.2,0.35
5389,Rayman Legends,XOne,2014,Platform,0.13,0.34
5529,Alien: Isolation,PS3,2014,Shooter,0.12,0.33
5590,Dragon Ball Heroes: Ultimate Mission 2 ,3DS,2014,Strategy,0,0.32
5611,Hatsune Miku: Project Diva F 2nd,PSV,2014,Misc,0.08,0.32
5649,Murdered: Soul Suspect,PS4,2014,Action,0.09,0.32
5722,J Stars Victory Vs.,PS3,2014,Fighting,0.05,0.31
5732,Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,2014,Action,0,0.31
5736,Sonic Boom: Rise of Lyric,WiiU,2014,Action,0.19,0.31
5737,Metro: Last Light,XOne,2014,Action,0.15,0.31
5816,Dragon Ball Z: Battle of Z,PS3,2014,Fighting,0.1,0.31
5862,Sniper Elite 3,X360,2014,Shooter,0.16,0.3
5864,Lego Batman 3: Beyond Gotham,PSV,2014,Action,0.05,0.3
5895,Dynasty Warriors 8: Xtreme Legends,PS4,2014,Action,0.09,0.3
5904,Sword Art Online: Hollow Fragment,PSV,2014,Role-Playing,0,0.3
5957,The LEGO Movie Videogame,PSV,2014,Action,0.04,0.29
6024,Borderlands: The Pre-Sequel,PC,2014,Shooter,0.11,0.29
6039,Sonic Boom: Shattered Crystal,3DS,2014,Action,0.17,0.29
6050,Metal Gear Solid V: Ground Zeroes,XOne,2014,Action,0.15,0.29
6099,FIFA 15,PC,2014,Sports,0,0.28
6184,Alien: Isolation,X360,2014,Shooter,0.15,0.28
6193,Sniper Elite 3,PS3,2014,Shooter,0.1,0.28
6194,NES Remix,WiiU,2014,Action,0.17,0.28
6195,Skylanders: Trap Team,3DS,2014,Action,0.16,0.28
6205,Thief (2014),X360,2014,Action,0.14,0.28
6227,One Piece: Unlimited World Red,PS3,2014,Action,0.09,0.28
6277,The Evil Within,PC,2014,Action,0.1,0.27
6312,Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,0.09,0.27
6313,Sengoku Basara 4,PS3,2014,Action,0,0.27
6327,LEGO The Hobbit,XOne,2014,Action,0.13,0.27
6379,Ultimate NES Remix,3DS,2014,Action,0.15,0.27
6498,The Amazing Spider-Man 2 (2014),PS3,2014,Action,0.06,0.26
6511,Yakuza: Ishin,PS3,2014,Action,0,0.26
6526,Samurai Warriors 4,PS3,2014,Action,0,0.26
6629,How to Train Your Dragon 2,3DS,2014,Adventure,0.04,0.25
6630,Just Dance 2015,PS3,2014,Misc,0.13,0.25
6680,Hatsune Miku: Project Diva F 2nd,PS3,2014,Misc,0.09,0.25
6746,Teenage Mutant Ninja Turtles: Danger of the Ooze,PS3,2014,Adventure,0.11,0.25
6756,The Walking Dead: Season Two,PS4,2014,Adventure,0.1,0.25
6774,Trials Fusion,XOne,2014,Racing,0.12,0.24
6779,Onechanbara Z2: Chaos,PS4,2014,Action,0.14,0.24
6797,Samurai Warriors 4,PS4,2014,Action,0.08,0.24
6861,LEGO The Hobbit,3DS,2014,Action,0.1,0.24
6957,NBA Live 15,PS4,2014,Sports,0.16,0.23
6994,The Amazing Spider-Man 2 (2014),X360,2014,Action,0.1,0.23
7086,Toukiden Kiwami,PSV,2014,Action,0.02,0.23
7118,3rd Super Robot Wars Z Jigoku Hen,PS3,2014,Role-Playing,0,0.23
7120,F1 2014,X360,2014,Racing,0.08,0.23
7160,LEGO The Hobbit,WiiU,2014,Action,0.09,0.22
7166,Soul Sacrifice Delta,PSV,2014,Action,0,0.22
7247,Lords of the Fallen,XOne,2014,Role-Playing,0.1,0.22
7255,The Amazing Spider-Man 2 (2014),XOne,2014,Action,0.12,0.22
7256,Senran Kagura 2: Deep Crimson ,3DS,2014,Action,0.1,0.22
7264,Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,2014,Fighting,0.14,0.22
7289,The Crew,X360,2014,Racing,0.06,0.22
7333,Transformer: Rise of the Dark Spark,PS4,2014,Action,0.07,0.21
7404,Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,Action,0.06,0.21
7409,The Wolf Among Us,PS4,2014,Adventure,0.1,0.21
7436,NBA Live 15,XOne,2014,Sports,0.17,0.21
7448,J Stars Victory Vs.,PSV,2014,Fighting,0,0.21
7509,God of War Collection,PSV,2014,Action,0.08,0.2
7578,Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014,Adventure,0.11,0.2
7634,Sleeping Dogs,XOne,2014,Action,0.1,0.2
7712,Castlevania: Lords of Shadow 2,PS3,2014,Action,0.03,0.2
7757,Bound By Flame,PS4,2014,Role-Playing,0.08,0.19
7821,Dynasty Warriors 8: Empires,PS4,2014,Action,0.06,0.19
7840,South Park: The Stick of Truth,PC,2014,Role-Playing,0.07,0.19
7890,The Walking Dead: Season Two,PS3,2014,Adventure,0.09,0.19
7892,3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,0,0.19
7899,The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,0.02,0.19
7908,Singstar: Ultimate Party,PS4,2014,Misc,0,0.19
7946,Phantasy Star Nova,PSV,2014,Role-Playing,0,0.19
7960,Dance Central: Spotlight,XOne,2014,Misc,0.15,0.19
7975,Godzilla (2015),PS4,2014,Action,0.11,0.19
7987,Guilty Gear Xrd: Sign,PS3,2014,Fighting,0.1,0.18
7993,How to Train Your Dragon 2,Wii,2014,Adventure,0.04,0.18
8014,Shape Up,XOne,2014,Misc,0.08,0.18
8037,Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,0.06,0.18
8064,Corpse Party: Blood Drive,PSV,2014,Adventure,0.08,0.18
8071,MotoGP 14 ,PS4,2014,Racing,0.04,0.18
8095,GRID Autosport,PS3,2014,Racing,0.05,0.18
8203,Dark Souls II,PC,2014,Role-Playing,0.08,0.17
8208,Project Spark,XOne,2014,Misc,0.11,0.17
8310,Danganronpa 2: Goodbye Despair,PSV,2014,Misc,0.08,0.17
8386,Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014,Action,0,0.17
8400,How to Train Your Dragon 2,X360,2014,Adventure,0.05,0.17
8424,Dragon Quest X,3DS,2014,Role-Playing,0,0.17
8428,NASCAR '14,X360,2014,Racing,0.15,0.17
8449,Jikkyou Powerful Pro Yakyuu 2014,PS3,2014,Sports,0,0.17
8482,Dengeki Bunko Fighting Climax,PS3,2014,Fighting,0.05,0.16
8539,Murdered: Soul Suspect,XOne,2014,Action,0.08,0.16
8591,The Crew,PC,2014,Racing,0,0.16
8606,Guilty Gear Xrd: Sign,PS4,2014,Fighting,0.1,0.16
8641,The Walking Dead: Season One,XOne,2014,Adventure,0.08,0.16
8647,Ar Nosurge: Ode to an Unborn Star,PS3,2014,Role-Playing,0.05,0.16
8652,Transformer: Rise of the Dark Spark,X360,2014,Action,0.09,0.16
8659,Wildstar,PC,2014,Role-Playing,0.08,0.16
8672,Harvest Moon: The Lost Valley,3DS,2014,Simulation,0.13,0.16
8729,Fantasia: Music Evolved,XOne,2014,Misc,0.11,0.15
8769,Disgaea 4: A Promise Unforgotten,PSV,2014,Role-Playing,0.03,0.15
8797,Gundam Breaker 2,PSV,2014,Action,0,0.15
8835,LEGO The Hobbit,PSV,2014,Action,0.02,0.15
8837,Oreshika: Tainted Bloodlines,PSV,2014,Role-Playing,0,0.15
8873,Warriors Orochi 3,PS4,2014,Action,0.04,0.15
8921,The Legend of Heroes: Trails of Cold Steel II,PS3,2014,Role-Playing,0.02,0.15
8925,Yakuza: Ishin,PS4,2014,Action,0,0.15
8994,Derby Stallion Gold,3DS,2014,Sports,0,0.14
9037,Alien: Isolation,PC,2014,Shooter,0,0.14
9064,Gundam Breaker 2,PS3,2014,Action,0,0.14
9088,Metal Gear Solid V: Ground Zeroes,X360,2014,Action,0.07,0.14
9122,Pro Evolution Soccer 2015,XOne,2014,Sports,0.03,0.14
9146,Pro Evolution Soccer 2015,X360,2014,Sports,0.05,0.14
9158,The Walking Dead: Season Two,XOne,2014,Adventure,0.08,0.14
9190,Pro Yaky? Spirits 2014,PS3,2014,Sports,0,0.14
9200,Rayman Legends,PSV,2014,Platform,0.01,0.14
9258,Murdered: Soul Suspect,PS3,2014,Action,0.05,0.14
9261,Shining Resonance,PS3,2014,Role-Playing,0,0.14
9281,Persona 4: Arena Ultimax,PS3,2014,Fighting,0,0.14
9387,Teenage Mutant Ninja Turtles: Danger of the Ooze,3DS,2014,Adventure,0.08,0.13
9429,Dengeki Bunko Fighting Climax,PSV,2014,Fighting,0.04,0.13
9453,The IdolM@ster: One for All,PS3,2014,Misc,0,0.13
9513,Watch Dogs,WiiU,2014,Action,0.07,0.13
9538,Deception IV: Blood Ties,PSV,2014,Action,0.02,0.13
9547,One Piece: Unlimited World Red,PSV,2014,Action,0.03,0.13
9559,Under Night In-Birth,PS3,2014,Fighting,0.06,0.13
9575,Hyperdevotion Noire: Goddess Black Heart,PSV,2014,Role-Playing,0.04,0.13
9615,Aikatsu! 365 Idol Days,3DS,2014,Adventure,0,0.13
9697,Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,3DS,2014,Misc,0,0.12
9758,Mobile Suit Gundam Side Story: Missing Link,PS3,2014,Action,0,0.12
9883,One Piece: Super Grand Battle! X,3DS,2014,Fighting,0,0.12
9887,Akiba's Trip: Undead & Undressed,PS4,2014,Action,0.08,0.12
9895,Jikkyou Powerful Pro Yakyuu 2014,PSV,2014,Sports,0,0.12
9928,Love Live! School Idol Paradise,PSV,2014,Misc,0,0.12
9948,Tropico 5,PC,2014,Simulation,0.02,0.12
9999,Deception IV: Blood Ties,PS3,2014,Action,0.03,0.11
10027,Taiko Drum Master: Tokumori!,WiiU,2014,Misc,0,0.11
10032,Hyperdimension Neptunia U: Action Unleashed,PSV,2014,Action,0.03,0.11
10062,Puyo Puyo Tetris,3DS,2014,Puzzle,0,0.11
10064,Fatal Frame: Maiden of Black Water,WiiU,2014,Action,0,0.11
10106,Transformer: Rise of the Dark Spark,PS3,2014,Action,0.04,0.11
10110,MotoGP 14 ,PS3,2014,Racing,0.05,0.11
10120,Transformer: Rise of the Dark Spark,XOne,2014,Action,0.07,0.11
10218,Samurai Warriors 4,PSV,2014,Action,0,0.11
10336,NASCAR '14,PS3,2014,Racing,0.09,0.11
10360,MLB 14: The Show,PSV,2014,Sports,0.08,0.11
10363,Tales of the World: Reve Unitia,3DS,2014,Role-Playing,0,0.11
10390,Dragon Ball Z: Battle of Z,PSV,2014,Fighting,0,0.11
10401,Pac-Man and the Ghostly Adventures 2,X360,2014,Adventure,0.05,0.11
10427,Kamen Rider: Battride War II,PS3,2014,Action,0,0.1
10448,Sacred 3,PS3,2014,Role-Playing,0.03,0.1
10463,Etrian Odyssey II: Heroes of Lagaard,3DS,2014,Role-Playing,0,0.1
10496,Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,2014,Role-Playing,0.03,0.1
10520,How to Train Your Dragon 2,PS3,2014,Adventure,0.03,0.1
10623,Thief (2014),PC,2014,Action,0,0.1
10649,Murdered: Soul Suspect,X360,2014,Action,0.06,0.1
10692,Fate/hollow ataraxia,PSV,2014,Adventure,0,0.1
10729,The Walking Dead: Season Two,X360,2014,Adventure,0.04,0.1
10732,The Walking Dead: Season Two,PSV,2014,Adventure,0.07,0.1
10737,Code:Realize - Sousei no Himegimi,PSV,2014,Adventure,0.05,0.1
